Título,Localización,Fecha,Salario,Formación,Salario_limpio,Salario_min,Salario_max,SalarioPromedio,España,CCAA
Tractoriasta para finca agricola,Huesca - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Cocineros, en general",Pontevedra - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Médicos especialistas en geriatría,A Coruña - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Técnico-a de mantenimiento preventivo industrial (ref.:2225),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Reponedor-a,Guipuzcoa - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Mecánico-a industrial,Albacete - Castilla la Mancha - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla la Mancha
Oficial mantenimiento de edificios (mantenimiento preventivo y correctivo) climatización o…,Burgos - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Fontaneros,A Coruña - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
"Cocineros, en general",Lugo - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Vigilantes de seguridad,Burgos - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Agentes comerciales,Granada - Andalucia - España,02/04/2025,Sin especificar,Eso / certificado de profesionalidad…,,NA,NA,NA,SI,NA
Bañeros (balnearios-saunas-baños turcos),Cadiz - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Electricista (ref.:2223),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
1 camarero-a de piso.,Cantabria - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cantabria
Auxiiliar de almacen,Murcia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia
"Camareros, en general",Pontevedra - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Albiñil oficial 1º y ofiial2º,Madrid - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid
Agentes comerciales,Cadiz - Andalucia - España,02/04/2025,Sin especificar,Grados universitarios de más de 240…,,NA,NA,NA,SI,NA
Work-location,Huesca - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Operario-a de mantenimiento,Murcia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia
Cocinero-a de comida peruana y pastelería internacional -oferta cid-,Zaragoza - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Work-location,Tarragona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Fontaneros o calefactores oficiales,Huesca - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Carpintero-a (ref. 2222),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Oferta empleo 2402-frigorista,Madrid - España,02/04/2025,Sin especificar,Eso / certificado de profesionalidad…,,NA,NA,NA,SI,Madrid
Experto docente curso de actividades aux. de cocina,Albacete - Castilla la Mancha - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla la Mancha
Administrativo-a (ref. 042025001838),Illes Balears - Baleares - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Baleares
Ferralista,Murcia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia
Fisioterapeuta,Caceres - Extremadura - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Extremadura
Operario-a reparacion y reposicion pavimentos-obra civil,Albacete - Castilla la Mancha - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla la Mancha
2 pintores-as restauradores-as trabajos verticales (ref: 2221),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Auxiliar-higienista dental,Vizcaya - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Auxiliares de enfermería de geriatría,Malaga - Andalucia - España,02/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,NA
"Conductores de furgoneta, hasta 3,5 t.",Huelva - Andalucia - España,02/04/2025,Sin especificar,Fp de grado superior y equivalentes…,,NA,NA,NA,SI,NA
Jefe-a y encargado-a de obra,Zaragoza - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Camareros, en general",Ourense - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Encofradores lleida,Lleida - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Limpiador-a,Zaragoza - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Conductores de furgoneta, hasta 3,5 t.",Almeria - Andalucia - España,02/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,NA
Conductor-a camión (ref. 042025001839),Illes Balears - Baleares - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Baleares
1 cocinero-a,Cantabria - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cantabria
Formadores de formadores,Leon - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Conductores de camión con remolque y-o de tractocamión,Valladolid - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Dependiente-a tienda de pinturas en don benito,Badajoz - Extremadura - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Extremadura
1 recepcionista-camarero (ref 2218),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
"Encargados o capataces agrícolas de huertas, invernaderos, viveros o jardines, en general",Sta.cruz de Tenerife - Canarias - España,02/04/2025,Sin especificar,Grados universitarios de 240 créditos…,,NA,NA,NA,SI,Canarias
Farmaceútico-a,Vizcaya - Pais Vasco - España,02/04/2025,Sin especificar,Grados universitarios de más de 240…,,NA,NA,NA,SI,NA
2 puestos de personal de limpieza con discapacidad (ref 2219),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
"Técnicos administrativos, en general",Sevilla - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Personal técnico de empresa,Vizcaya - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Enfermeros de cuidados generales,Lugo - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Gerocultor-a (ref. 2220),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Work-location,Girona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
"Cocineros, en general",Pontevedra - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
"Embaladores-empaquetadores-etiquetadores, a mano",Almeria - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Impermeabilizador. categoría profesional oficial-ayudante.titulación: estudios primarios completos.…,Madrid - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid
Rebobinador-a de motores electricos,Guipuzcoa - Pais Vasco - España,02/04/2025,Sin especificar,Fp de grado superior y equivalentes…,,NA,NA,NA,SI,NA
Auxiliares de enfermería,Lugo - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
"Instaladores electricistas, en general",A Coruña - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Conductor de autobús para tranporte escolar en segovia,Segovia - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Profesores del área de matemáticas (enseñanza secundaria),Jaen - Andalucia - España,02/04/2025,Sin especificar,Grados universitarios de más de 240…,,NA,NA,NA,SI,NA
Enfermeros de cuidados generales,Cordoba - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Responsable de departamento laboral,Murcia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Formad@ formación no reglada para pueblo nuevo del guadiana .,Badajoz - Extremadura - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Extremadura
Fontanero-a redes y domicilios,Guipuzcoa - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Work-location,Girona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Mozos de habitación o valets,Las Palmas - Canarias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Canarias
Personal administrativo en almacén trubia,Asturias - España,02/04/2025,21.000 - 23.999,Sin estudios,21000-23999,21000,23999,22,SI,Asturias
Técnico-a servicios agrarios (sector público),Zaragoza - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Work-location,Girona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Work-location,Tarragona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Mecánico del automovil,Murcia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia
"Mecánicos-ajustadores de motores en maquinaria pesada, agrícola y-o industrial autopropulsada",Las Palmas - Canarias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Canarias
"Empleados administrativos, en general",Huelva - Andalucia - España,02/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,NA
Personal limpieza coruña - arteixo distintas ubicaciones,A Coruña - Galicia - España,02/04/2025,6.000 Primera etapa de educación secundaria…,NA,6000,6000,NA,72,SI,Galicia
Agentes de seguros,Cadiz - Andalucia - España,02/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,NA
Ayudante montador de rótulos,Madrid - España,02/04/2025,Sin especificar,Eso / certificado de profesionalidad…,,NA,NA,NA,SI,Madrid
Camareros,Teruel - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Agentes comerciales.,Madrid - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid
Coordinador-a de programa experiencial,Murcia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia
"Auxiliares de enfermería hospitalaria, en general",A Coruña - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Camarero,Vizcaya - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Electrónicos de mantenimiento y reparación de edificios y equipamientos urbanos,Las Palmas - Canarias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Canarias
Operarios mantenimiento bizi zaragoza,Zaragoza - Aragon - España,02/04/2025,Sin especificar,Fp de grado superior y equivalentes…,,NA,NA,NA,SI,NA
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Enfermera-o,Vizcaya - Pais Vasco - España,02/04/2025,Sin especificar,Doctorado o equivalente,,NA,NA,NA,SI,NA
Oficial-a 1ª polivalente mantenimiento,Madrid - España,02/04/2025,Sin especificar,Fp de grado superior y equivalentes…,,NA,NA,NA,SI,Madrid
Conducción de camión y grua fija,Guipuzcoa - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Comercial maquinaria agrícola,Zaragoza - Aragon - España,02/04/2025,22.000 - 22.001,Otros tipos de formación,22000-22001,22000,22001,22,SI,NA
"Emplead@ administrativ@ comercial inmobiliario con carnet b,coche propio, informática avanzada y…",Caceres - Extremadura - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Extremadura
Monitor taller de empleo de limpieza en edificios y locales,Lugo - Galicia - España,02/04/2025,Sin especificar,Fp de grado superior y equivalentes…,,NA,NA,NA,SI,Galicia
Técnico-a mantenimiento de maquinaria (ref.2254),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Mecánicos de autobuses,Huesca - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Fisioterapeutas, en general",Cordoba - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Formadores de formación para el empleo,Sta.cruz de Tenerife - Canarias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Canarias
Encargado-a de obra,Vizcaya - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Trabajador-a incineradora de animales.,Badajoz - Extremadura - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Extremadura
Encofradores. oficial de primera,Badajoz - Extremadura - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Extremadura
Soldador-a carpinteria metalica,Alava - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Dependientes de floristería,Sta.cruz de Tenerife - Canarias - España,02/04/2025,Sin especificar,Eso / certificado de profesionalidad…,,NA,NA,NA,SI,Canarias
Dependientes de carnicería y-o charcutería,Sta.cruz de Tenerife - Canarias - España,02/04/2025,Sin especificar,Eso / certificado de profesionalidad…,,NA,NA,NA,SI,Canarias
"Lavacoches, a mano",Pontevedra - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Auxiliar administrativo-a,Murcia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia
Limpiador-a industrial,Vizcaya - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Electromecanico-a de mantenimiento (el burgo de ebro),Zaragoza - Aragon - España,02/04/2025,Sin especificar,Fp de grado superior y equivalentes…,,NA,NA,NA,SI,NA
"Cuidadores de personas con discapacidad y-o dependencia, en instituciones",A Coruña - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Podadores y-o motoserristas forestales,A Coruña - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Psicólogos sanitarios generales,Cordoba - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Trabajador-a social (ref. 04 2025 001868),Illes Balears - Baleares - España,02/04/2025,Sin especificar,Doctorado o equivalente,,NA,NA,NA,SI,Baleares
Fontanero-a - electricista,Murcia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia
"Técnico-a electricista, madrid - primer empleo",Madrid - España,02/04/2025,Sin especificar,Enseñanzas universitarias de grado,,NA,NA,NA,SI,Madrid
Terapeutas ocupacionales,Sevilla - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Bármanes,Las Palmas - Canarias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Canarias
Auxiliar administrativo para el departamento de logística,Zaragoza - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Work-location,Tarragona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Logopedas,Sta.cruz de Tenerife - Canarias - España,02/04/2025,Sin especificar,Grados universitarios de más de 240…,,NA,NA,NA,SI,Canarias
"Conductores-repartidores en motocicleta, ciclomotor y-o motocarro, excepto mensajería",Sevilla - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Limpiador-a,Guipuzcoa - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Limpiador-a,Vizcaya - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Personal de conducción de tranvía,Zaragoza - Aragon - España,02/04/2025,Sin especificar,Fp de grado superior y equivalentes…,,NA,NA,NA,SI,NA
Técnico-a servicios agrarios sector frutas y hortalizas- alcañiz (sector público),Teruel - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Encargados de obra de edificación, en general",Pontevedra - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Peón de lavandería industrial,Madrid - España,02/04/2025,Sin especificar,Eso / certificado de profesionalidad…,,NA,NA,NA,SI,Madrid
Barrenderos,Teruel - Aragon - España,02/04/2025,Sin especificar,Eso / certificado de profesionalidad…,,NA,NA,NA,SI,NA
"Operadores de máquinas industriales de coser y bordar, en general",Sevilla - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Comercial de venta de lubricantes marinos,Badajoz - Extremadura - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Extremadura
Trabajadores sociales,Valladolid - Castilla Leon - España,02/04/2025,Sin especificar,Grados universitarios de más de 240…,,NA,NA,NA,SI,NA
Conductor-a de furgoneta,Zaragoza - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Work-location,Lleida - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Diseñador-a gráfico-a,Vizcaya - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Fontaneros,Pontevedra - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Cristaleros de edificios,Ourense - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Cocinero-a,Murcia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia
Enfermero-a,Guipuzcoa - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Monitor taller de empelo de revestimientos en construcción,Lugo - Galicia - España,02/04/2025,Sin especificar,Fp de grado superior y equivalentes…,,NA,NA,NA,SI,Galicia
"Docente de especialidades formativas de ""agraria"".",Murcia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia
Auxiliar administrativo-a con experiencia,Guipuzcoa - Pais Vasco - España,02/04/2025,Sin especificar,Grados universitarios de 240 créditos…,,NA,NA,NA,SI,NA
Work-location,Lleida - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Agente comercial técnico empresa de mantenimiento y reparación industrial de humanes de madrid,Madrid - España,02/04/2025,1.916 - 1.917,Otros tipos de formación,1916-1917,1916,1917,23,SI,Madrid
"Mecánicos-ajustadores del automóvil, en general (turismos y furgonetas)",A Coruña - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
1 cocinero-a.,Cantabria - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cantabria
Agentes comerciales,Pontevedra - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Cuidador-a,Valladolid - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Work-location,Girona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Dependiente de tienda,Guipuzcoa - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Camarero-a,Murcia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia
Cocinero-a cocina oriental (ref. 04 2025 001865),Illes Balears - Baleares - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Baleares
Asistentes domiciliarios,A Coruña - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Work-location,Girona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Personal de limpieza o limpiadores en general,Burgos - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Oferta 08-2025-6019,Soria - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Work-location,Lleida - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Personal de limpieza o limpiadores en general,Ourense - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Mecánico maquinária agrícola. oficial 3ª.,Toledo - Castilla la Mancha - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla la Mancha
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
1 gerente de sanitarios portatiles,Cantabria - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cantabria
Mecánico maquinaría agrícola. oficial 1ª.,Toledo - Castilla la Mancha - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla la Mancha
Personal de limpieza,Huesca - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Conductor-a de camión con grua (ref. 2247),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
1 motosierrista (ref. 2249),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Work-location,Tarragona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Operadores de máquina envasadora de bebidas,Jaen - Andalucia - España,02/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,NA
Personal de limpieza o limpiadores en general,Huelva - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Conductores de furgoneta, hasta 3,5 t.",Ourense - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Albañiles oficiales 1ª,Huesca - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Gerocultor-a, ref. 042025001860",Illes Balears - Baleares - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Baleares
Peones agricolas (con discapacidad),Huesca - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Personal de limpieza con discapacidad,Vizcaya - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Peón de agricultura (ref.2252),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Panadero - confitero-a (ref : 2251 ),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Mantenedor de piscina,Zaragoza - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Terapeuta ocupacional,Teruel - Aragon - España,02/04/2025,Sin especificar,Grados universitarios de más de 240…,,NA,NA,NA,SI,NA
Auxiliar de clínica .,Badajoz - Extremadura - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Extremadura
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Operadores de planta de tratamiento de residuos sólidos urbanos,Sta.cruz de Tenerife - Canarias - España,02/04/2025,Sin especificar,Fp de grado superior y equivalentes…,,NA,NA,NA,SI,Canarias
Work-location,Girona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Consultores de formación,Madrid - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid
Oficial 1ª electricista-pedrola.,Zaragoza - Aragon - España,02/04/2025,Sin especificar,Fp de grado superior y equivalentes…,,NA,NA,NA,SI,NA
Maquinista agrícola con experiencia en conducción de maquinas agrícolas mixtas y miniexcavadoras,Caceres - Extremadura - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Extremadura
Médicos especialistas en psiquiatría,Jaen - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
